STYLE,DESC,CATEGORY,LOT,QOH_CASES,UPC_SKU_2,PRICE_CS,PRICE_UNIT,SIZE
MD30-1538,1PK 70MM Flocked Ornament with,Ornaments,C48,0,840364215388,10.00,1.00,
MD30-1539,1PK 120MM Flocked Ornament wit,Ornaments,C48,0,840364215395,10.00,1.00,
MD30-1540,1PK Boot Ornament with Pine De,Ornaments,C48,672,840364215401,10.00,1.00,
MD30-1540-D,1PK Boot Ornament with Pine De,Ornaments,C48,0,840364215401,10.00,1.00,
MD30-1541,1PK Bow Ornament with Bird and,Ornaments,C48,0,840364215418,10.00,1.00,
MD30-1542,1PK Carriage Ornament with Flo,Ornaments,C48,0,840364215425,10.00,1.00,
MD30-1543,1PK Frosted Winter Bird Nest W,Ornaments,C48,0,840364215432,10.00,1.00,
MD30-1544,1PK Gaming Controller Ornament,Ornaments,C48,48,840364215449,10.00,1.00,
MD30-1545,1PK Grape Cluster Ornament,Ornaments,C48,192,840364215456,10.00,1.00,
MD30-1545-D,1PK Grape Cluster Ornament,Ornaments,C48,0,840364215456,10.00,1.00,
MD30-1546,1PK Hat And Stocking Ornament,Ornaments,C48,0,840364215463,10.00,1.00,
MD30-1547,1PK Hot Cocoa Ornament,Ornaments,C48,144,840364215470,10.00,1.00,
MD30-1547-D,1PK Hot Cocoa Ornament,Ornaments,C48,0,840364215470,10.00,1.00,
MD30-1548,1PK Jumbo Decorative Diamond O,Ornaments,C48,0,840364215487,10.00,1.00,
MD30-1550,1PK Jumbo Musical Note Ornamen,Ornaments,C24,0,840364215500,10.00,1.00,
MD30-1551,1PK Jumbo Royal Lili Crest Orn,Ornaments,C48,48,840364215517,10.00,1.00,
MD30-1552,1PK Jumping Reindeer with Tass,Ornaments,C48,0,840364215524,10.00,1.00,
MD30-1553,1PK Long Tail Clip-On Peacock,Ornaments,C48,0,840364215531,10.00,1.00,
MD30-1554,1PK Nutcracker Soldier Ornamen,Ornaments,C48,96,840364215548,10.00,1.00,
MD30-1555,1PK Penguin Ornament,Ornaments,C48,240,840364215555,10.00,1.00,
MD30-1555-D,1PK Penguin Ornament,Ornaments,C48,0,840364215555,10.00,1.00,
MD30-1556,1PK PET Ornament with Gem Flow,Ornaments,C48,288,840364215562,10.00,1.00,
MD30-1557,1PK PET Ornament with Snowflak,Ornaments,C48,0,840364215579,10.00,1.00,
MD30-1558,1PK Pine Cone Ornament with  P,Ornaments,C48,0,840364215586,10.00,1.00,
MD30-1559,1PK Pine Cone Ornament with Pi,Ornaments,C48,0,840364215593,10.00,1.00,
MD30-1560,1PK Poinsettia Ornament,Ornaments,C48,192,840364215609,10.00,1.00,
MD30-1560-D,1PK Poinsettia Ornament,Ornaments,C48,0,840364215609,10.00,1.00,
MD30-1561,1PK Reindeer Wreath Ornament w,Ornaments,C48,0,840364215616,10.00,1.00,
MD30-1562,1PK Skate Ornament,Ornaments,C48,0,840364215623,10.00,1.00,
MD30-1563,1PK Snowflake Ornament with Ta,Ornaments,C48,0,840364215630,10.00,1.00,
MD30-1564,1PK Snowman Head Ornament,Ornaments,C48,96,840364215647,10.00,1.00,
MD30-1565,1PK Snowman Ornament,Ornaments,C48,0,840364215654,10.00,1.00,
MD30-1566,250MM Jumbo Finial Ornament,Ornaments,C12,84,840364215661,10.00,1.00,
MD30-1568,2PK Glitter Reindeer Ornament,Ornaments,C48,48,840364215685,10.00,1.00,
MD30-1568-D,2PK Glitter Reindeer Ornament,Ornaments,C48,0,840364215685,10.00,1.00,
MD30-1569,2PK Hat and Boot Ornaments Ass,Inactive,C48,0,840364215692,10.00,1.00,
MD30-1570,2PK Lollipop Ornament,Ornaments,C48,0,840364215708,10.00,1.00,
MD30-1571,2PK Poinsettia,Inactive,C48,0,840364215715,10.00,1.00,
MD30-1572,2PK Santa Key Ornaments,Ornaments,C48,0,840364215722,10.00,1.00,
